"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"340";"18950";"53705";"2003JJ00";"      12";"      88";"      14";"      86"
"341";"18950";"53705";"2004JJ00";"      11";"      89";"      15";"      85"
"342";"18950";"53705";"2005JJ00";"      10";"      90";"      10";"      90"
"343";"18950";"53705";"2006JJ00";"       9";"      91";"      13";"      87"
"344";"18950";"53705";"2007JJ00";"       9";"      91";"      10";"      90"
"345";"18950";"53705";"2008JJ00";"      12";"      88";"      12";"      88"
"346";"18950";"53705";"2009JJ00";"       9";"      91";"      13";"      87"
"347";"18950";"53705";"2010XX00";"      10";"      90";"       9";"      91"
"348";"18950";"53705";"2010JJ00";"      16";"      84";"      16";"      84"
"349";"18950";"53705";"2012JJ00";"      11";"      89";"      10";"      90"
"350";"18950";"53850";"2003JJ00";"      13";"      87";"      14";"      86"
"351";"18950";"53850";"2004JJ00";"      12";"      88";"      13";"      87"
"352";"18950";"53850";"2005JJ00";"      12";"      88";"      15";"      85"
"353";"18950";"53850";"2006JJ00";"      14";"      86";"      15";"      85"
"354";"18950";"53850";"2007JJ00";"      12";"      88";"      12";"      88"
"355";"18950";"53850";"2008JJ00";"      12";"      88";"      10";"      90"
"356";"18950";"53850";"2009JJ00";"       9";"      91";"      11";"      89"
"357";"18950";"53850";"2010XX00";"      12";"      88";"      15";"      85"
"358";"18950";"53850";"2010JJ00";"      16";"      84";"      16";"      84"
"359";"18950";"53850";"2012JJ00";"      21";"      79";"      20";"      80"
"360";"18950";"15700";"2003JJ00";"      17";"      83";"      15";"      85"
"361";"18950";"15700";"2004JJ00";"      17";"      83";"      13";"      87"
"362";"18950";"15700";"2005JJ00";"      16";"      84";"       9";"      91"
"363";"18950";"15700";"2006JJ00";"      17";"      83";"      12";"      88"
"364";"18950";"15700";"2007JJ00";"      13";"      87";"      10";"      90"
"365";"18950";"15700";"2008JJ00";"      14";"      86";"      14";"      86"
"366";"18950";"15700";"2009JJ00";"      12";"      88";"      11";"      89"
"367";"18950";"15700";"2010XX00";"      16";"      84";"      13";"      87"
"368";"18950";"15700";"2010JJ00";"      17";"      83";"      14";"      86"
"369";"18950";"15700";"2012JJ00";"       .";"       .";"       .";"       ."
"370";"18950";"12600";"2003JJ00";"      11";"      89";"      13";"      87"
"371";"18950";"12600";"2004JJ00";"      10";"      90";"      11";"      89"
